title,url,published at
Study shows money can cause stress & mental health issues at Uni,https://www.iconinc.co.uk/our-community/blog/study-shows-money-can-cause-stress-mental-health-issues-at-uni,7/4/2016 13:33
7 Student Friendly Cities To Visit Outside Of Term Time,https://www.iconinc.co.uk/our-community/blog/7-student-friendly-cities-to-visit-outside-of-term-time,7/6/2016 13:27
Preparing For Life As A Leeds Uni Student,https://www.iconinc.co.uk/our-community/blog/preparing-for-life-as-a-leeds-uni-student,8/4/2016 16:12
What To Wear To Lectures,https://www.iconinc.co.uk/our-community/blog/what-to-wear-to-lectures,8/4/2016 16:50
What to Wear on a Night out in Leeds,https://www.iconinc.co.uk/our-community/blog/what-to-wear-on-a-night-out-in-leeds,8/7/2016 17:05
How students can make extra cash while studying,https://www.iconinc.co.uk/our-community/blog/how-students-can-make-extra-cash-while-studying,8/8/2016 16:53
What to Expect on a Night out in Leeds,https://www.iconinc.co.uk/our-community/blog/what-to-expect-on-a-night-out-in-leeds,8/11/2016 17:06
"IconInc ""The Glassworks"" Leeds & Why it’s in the perfect location",https://www.iconinc.co.uk/our-community/blog/iconinc-the-glassworks-leeds-why-its-in-the-perfect-location,8/28/2016 17:41
"The best bars and pubs in Leeds near IconInc ""The Glassworks""",https://www.iconinc.co.uk/our-community/blog/the-best-bars-and-pubs-in-leeds-near-iconinc-the-glassworks,9/3/2016 15:20
"The best bars & pubs in Liverpool near IconInc ""The Ascent""",https://www.iconinc.co.uk/our-community/blog/the-best-bars-pubs-in-liverpool-near-iconinc-the-ascent,9/5/2016 15:59
"The best places to eat in Leeds near IconInc ""The Glassworks""",https://www.iconinc.co.uk/our-community/blog/the-best-places-to-eat-in-leeds-near-iconinc-the-glassworks,9/8/2016 17:58
"The best places to eat in Liverpool near IconInc ""The Ascent""",https://www.iconinc.co.uk/our-community/blog/the-best-places-to-eat-in-liverpool-near-iconinc-the-ascent,9/9/2016 18:20
English Traditions and Holidays You Need To Know About,https://www.iconinc.co.uk/our-community/blog/english-traditions-and-holidays-you-need-to-know-about,10/2/2016 16:15
10 Netflix films that are perfect for Halloween,https://www.iconinc.co.uk/our-community/blog/10-netflix-films-that-are-perfect-for-halloween,10/24/2016 12:39
"Everything you need to know about IconInc ""The Ascent"" in Liverpool",https://www.iconinc.co.uk/our-community/blog/everything-you-need-to-know-about-iconinc-the-ascent-in-liverpool,10/25/2016 16:39
Everything you need to know about IconInc “The Glassworks” in Leeds,https://www.iconinc.co.uk/our-community/blog/everything-you-need-to-know-about-iconinc-the-glassworks-in-leeds,10/25/2016 17:28
5 reasons why Leeds is the best student city in England,https://www.iconinc.co.uk/our-community/blog/5-reasons-why-leeds-is-the-best-student-city-in-england,10/31/2016 15:57
"IconInc ""The Ascent"" Liverpool & Why it’s in the perfect location",https://www.iconinc.co.uk/our-community/blog/iconinc-the-ascent-liverpool-why-its-in-the-perfect-location,11/7/2016 14:50
Why choose IconInc?,https://www.iconinc.co.uk/our-community/blog/why-choose-iconinc,11/8/2016 20:25
Leeds Cultural Experiences,https://www.iconinc.co.uk/our-community/blog/leeds-cultural-experiences,11/29/2016 16:13
"Socializing with other students at IconInc ""The Ascent"" Liverpool",https://www.iconinc.co.uk/our-community/blog/socializing-with-other-students-at-iconinc-the-ascent-liverpool,12/5/2016 15:48
10 Essentials You Need For Your New Student Flat,https://www.iconinc.co.uk/our-community/blog/10-essentials-you-need-for-your-new-student-flat,8/7/2017 16:00
The Benefits Of All Inclusive Luxury Student Living At IconInc,https://www.iconinc.co.uk/our-community/blog/the-benefits-of-all-inclusive-luxury-student-living-at-iconinc,8/17/2017 16:19
Things To Do This August Bank Holiday Weekend In Liverpool,https://www.iconinc.co.uk/our-community/blog/things-to-do-this-august-bank-holiday-weekend-in-liverpool,8/21/2017 13:38
Settling Into Life At University In Leeds,https://www.iconinc.co.uk/our-community/blog/settling-into-life-at-university-in-leeds,8/25/2017 13:54
6 Benefits Of Having a 24 Hour Concierge,https://www.iconinc.co.uk/our-community/blog/6-benefits-of-having-a-24-hour-concierge,9/5/2017 18:09
"Leeds' New Luxury Student Accommodation, The Glassworks, Is Officially Open!",https://www.iconinc.co.uk/our-community/blog/leeds-new-luxury-student-accommodation-the-glassworks-is-officially-open,9/5/2017 20:28
5 Reasons To Love Liverpool,https://www.iconinc.co.uk/our-community/blog/5-reasons-to-love-liverpool,9/11/2017 13:00
IconInc Extras That Will Make Your Stay Even More Luxurious,https://www.iconinc.co.uk/our-community/blog/iconinc-extras-that-will-make-your-stay-even-more-luxurious,9/13/2017 12:16
The Essential Guide To Liverpool,https://www.iconinc.co.uk/our-community/blog/the-essential-guide-to-liverpool,9/18/2017 15:29
10 Things You Can Use IconInc’s Cinema For,https://www.iconinc.co.uk/our-community/blog/10-things-you-can-use-iconincs-cinema-for,9/20/2017 13:56
5 Highlights From IconInc's Welcome Day,https://www.iconinc.co.uk/our-community/blog/5-highlights-from-iconincs-welcome-day,10/6/2017 13:51
Easy Work Outs For Gym Beginners,https://www.iconinc.co.uk/our-community/blog/easy-work-outs-for-gym-beginners,10/12/2017 12:56
3 Epic Meals You Can Cook In The Mega Kitchen,https://www.iconinc.co.uk/our-community/blog/3-epic-meals-you-can-cook-in-the-mega-kitchen,10/16/2017 12:50
Why The UK Is The Best Place For International Students To Study,https://www.iconinc.co.uk/our-community/blog/why-the-uk-is-the-best-place-for-international-students-to-study,10/30/2017 15:26
"The Edge, Leeds: A Closer Look At The Unrivalled Facilities",https://www.iconinc.co.uk/our-community/blog/the-edge-leeds-a-closer-look-at-the-unrivalled-facilities,11/9/2017 17:25
Top 3 New Year’s Resolutions That IconInc Will Help You Keep,https://www.iconinc.co.uk/our-community/blog/top-3-new-years-resolutions-that-iconinc-will-help-you-keep,11/20/2017 16:07
Don’t Spend Christmas Alone – Celebrate With IconInc!,https://www.iconinc.co.uk/our-community/blog/dont-spend-christmas-alone-celebrate-with-iconinc,11/24/2017 15:22
An International Student Checklist: Let Us Take Care Of Your Student Accommodation,https://www.iconinc.co.uk/our-community/blog/an-international-student-checklist-let-us-take-care-of-your-student-accommodation,11/30/2017 19:09
What You See Is What You Get At IconInc,https://www.iconinc.co.uk/our-community/blog/what-you-see-is-what-you-get-at-iconinc,12/5/2017 15:53
IconInc's Christmas Party 2017,https://www.iconinc.co.uk/our-community/blog/iconincs-christmas-party-2017,12/12/2017 17:03
The Top 6 Places To Eat In Liverpool,https://www.iconinc.co.uk/our-community/blog/the-top-6-places-to-eat-in-liverpool,12/22/2017 16:29
Here's Why IconInc Is The Best Student Accommodation In Liverpool,https://www.iconinc.co.uk/our-community/blog/heres-why-iconinc-is-the-best-student-accommodation-in-liverpool,1/12/2018 18:07
3 Ways To Enjoy Popcorn At IconInc,https://www.iconinc.co.uk/our-community/blog/3-ways-to-enjoy-popcorn-at-iconinc,1/16/2018 18:27
The Perks Of Living At IconInc,https://www.iconinc.co.uk/our-community/blog/the-perks-of-living-at-iconinc,1/29/2018 19:23
Meet Mido And Find Out What He Thinks Of IconInc And Life In Leeds,https://www.iconinc.co.uk/our-community/blog/meet-mido-iconinc-ambassador,1/31/2018 21:23
Here's What Happened At IconInc's Super Bowl Sunday Event,https://www.iconinc.co.uk/our-community/blog/superbowl-sunday-event,2/7/2018 14:17
3 Easy To Make Home-Made Pizzas,https://www.iconinc.co.uk/our-community/blog/easy-to-make-home-made-pizzas,2/7/2018 18:41
Living Together As A Couple At IconInc,https://www.iconinc.co.uk/our-community/blog/living-together-iconinc,2/14/2018 14:11
Celebrating Chinese New Year At Home And At IconInc,https://www.iconinc.co.uk/our-community/blog/celebrating-chinese-new-year-at-iconinc,2/20/2018 17:41
Inspiring Women On International Women's Day,https://www.iconinc.co.uk/our-community/blog/inspiring-women-international-womens-day,3/7/2018 20:07
3 Reasons To Choose IconInc As An International Student,https://www.iconinc.co.uk/our-community/blog/reasons-to-choose-iconinc-as-an-international-student,3/19/2018 15:11
A Fun Easter Egg Hunt At IconInc,https://www.iconinc.co.uk/our-community/blog/easter-egg-hunt-at-iconinc,4/6/2018 15:11
The Best Vegan Places To Eat In Leeds,https://www.iconinc.co.uk/our-community/blog/vegan-places-to-eat-leeds,4/10/2018 18:35
An IconInc Chocolate Masterclass With The Ministry Of Chocolate,https://www.iconinc.co.uk/our-community/blog/chocolate-making-class,4/13/2018 19:44
The Best Digital Events In Leeds For Students,https://www.iconinc.co.uk/our-community/blog/digital-events-in-leeds-for-students,4/17/2018 21:04
The 6 Parks In Leeds You Need To Explore This Summer,https://www.iconinc.co.uk/our-community/blog/parks-in-leeds-explore-this-summer,4/19/2018 16:46
Something For The Weekend: The Top 5 Upcoming Events In Leeds,https://www.iconinc.co.uk/our-community/blog/upcoming-weekend-events-leeds,4/23/2018 18:31
Here's How To Successfully Finish The University Year,https://www.iconinc.co.uk/our-community/blog/successfully-finish-the-university-year,5/9/2018 14:47
The Top Places In Leeds To Watch The Royal Wedding,https://www.iconinc.co.uk/our-community/blog/royal-wedding-leeds,5/9/2018 18:32
How To Get Involved In The IconInc Community,https://www.iconinc.co.uk/our-community/blog/get-involved-in-iconinc-community,5/14/2018 16:53
Get Out Of The City: The Best Day Trips In Yorkshire,https://www.iconinc.co.uk/our-community/blog/the-best-day-trips-in-yorkshire,5/14/2018 19:55
Celebrating The Royal Wedding At IconInc's Summer Party,https://www.iconinc.co.uk/our-community/blog/royal-wedding-at-iconinc,5/29/2018 15:11
How To Hold A World Cup Party At IconInc,https://www.iconinc.co.uk/our-community/blog/world-cup-party-at-iconinc,5/30/2018 15:06
A Guide To Getting Ready For Festival Season,https://www.iconinc.co.uk/our-community/blog/guide-getting-ready-festival-season,6/13/2018 19:27
Enjoying A Sports Day At IconInc,https://www.iconinc.co.uk/our-community/blog/sports-day-iconinc,6/15/2018 18:51
The Best Summer Festivals In Leeds And Liverpool,https://www.iconinc.co.uk/our-community/blog/best-festivals-in-leeds-and-liverpool,6/20/2018 19:36
Epic Day Trips From Liverpool,https://www.iconinc.co.uk/our-community/blog/day-trips-from-liverpool,6/28/2018 14:13
A Leeds Bucket List For Your Student Life,https://www.iconinc.co.uk/our-community/blog/leeds-bucket-list-students,7/6/2018 19:26
6 Things To Do In Liverpool This Summer,https://www.iconinc.co.uk/our-community/blog/117,7/10/2018 13:55
Sam’s Top 10 Outdoorsy Things To Do In Leeds This Summer,https://www.iconinc.co.uk/our-community/blog/118,8/14/2018 21:05
A Day In The Life Of An IconInc Student,https://www.iconinc.co.uk/our-community/blog/a-day-in-the-life-of-an-iconinc-student,8/16/2018 20:47
Uses For The IconInc Private Cinema,https://www.iconinc.co.uk/our-community/blog/uses-for-the-iconinc-private-cinema,8/22/2018 14:03
Which IconInc Facility Is Made For You?,https://www.iconinc.co.uk/our-community/blog/which-iconinc-facility-is-made-for-you,8/30/2018 20:14
How To Feel At Home At IconInc,https://www.iconinc.co.uk/our-community/blog/how-to-feel-at-home-at-iconinc,9/6/2018 13:48
Introducing your IconInc Ambassadors,https://www.iconinc.co.uk/our-community/blog/introducing-your-iconinc-ambassadors,9/10/2018 16:06
Gearing up for Welcome Week,https://www.iconinc.co.uk/our-community/blog/gearing-up-for-welcome-week,9/19/2018 20:19
New Item,https://www.iconinc.co.uk/our-community/blog/126,9/21/2018 15:46
Elena’s banana berry pancake recipe,https://www.iconinc.co.uk/our-community/blog/elenas-banana-berry-pancake-recipe,10/1/2018 19:57
Fran’s Welcome Week at The Edge,https://www.iconinc.co.uk/our-community/blog/frans-welcome-week-at-the-edge,10/3/2018 14:52
Finding my feet as a fresher,https://www.iconinc.co.uk/our-community/blog/finding-my-feet-as-a-fresher-olly,10/8/2018 15:52
International supermarkets in Liverpool,https://www.iconinc.co.uk/our-community/blog/international-supermarkets-in-liverpool,10/15/2018 15:29
Quick and easy Halloween costumes,https://www.iconinc.co.uk/our-community/blog/quick-and-easy-halloween-costumes,10/18/2018 22:12
Harrison’s Netflix top 10,https://www.iconinc.co.uk/our-community/blog/harrisons-netflix-top-10,10/23/2018 16:39
How volunteering showed Maz the power of proactivity,https://www.iconinc.co.uk/our-community/blog/the-power-of-proactivity,10/24/2018 20:44
All about Bonfire Night and where to celebrate,https://www.iconinc.co.uk/our-community/blog/bonfire-night-and-where-to-celebrate,10/25/2018 21:51
Why Elena starts her day with exercise,https://www.iconinc.co.uk/our-community/blog/why-elena-starts-her-day-with-exercise,10/31/2018 21:18
The best indie films of 2018,https://www.iconinc.co.uk/our-community/blog/best-indie-films-2018,11/7/2018 0:27
Halloween at The Edge,https://www.iconinc.co.uk/our-community/blog/halloween-at-the-edge-2018,11/9/2018 15:06
Things to do this Christmas in Leeds and Liverpool,https://www.iconinc.co.uk/our-community/blog/things-to-do-this-christmas,11/14/2018 19:59
How Mido is making his time in the UK count,https://www.iconinc.co.uk/our-community/blog/how-mido-is-making-his-time-in-the-uk-count,11/19/2018 21:53
How to celebrate Christmas at IconInc,https://www.iconinc.co.uk/our-community/blog/how-to-celebrate-christmas-at-iconinc,11/26/2018 17:49
Take your taste buds around the world in the mega kitchen,https://www.iconinc.co.uk/our-community/blog/cooking-world-cuisine-in-the-mega-kitchen-elena,11/29/2018 21:08
Why Olivia chose cheerleading society,https://www.iconinc.co.uk/our-community/blog/why-olivia-chose-cheerleading-society,12/3/2018 21:27
How to revise for your exams: 4 proven techniques,https://www.iconinc.co.uk/our-community/blog/how-to-revise-for-exams-4-techniques,12/6/2018 20:20
IconInc featured on BBC Breakfast,https://www.iconinc.co.uk/our-community/blog/iconinc-featured-on-bbc-breakfast,12/10/2018 16:30
Three simple stretches to get rid of exam revision aches,https://www.iconinc.co.uk/our-community/blog/three-stretches-for-exam-revision-aches,12/19/2018 13:41
Tips to make new friends at IconInc,https://www.iconinc.co.uk/our-community/blog/tips-to-make-new-friends-at-iconinc,12/20/2018 19:25
The IconInc build up to a big night out,https://www.iconinc.co.uk/our-community/blog/the-iconinc-build-up-to-a-big-night-out,1/17/2019 14:31
Cool things you might not know about IconInc,https://www.iconinc.co.uk/our-community/blog/cool-things-you-might-not-know-about-iconinc,1/18/2019 14:24
How’s your New Year’s resolution going?,https://www.iconinc.co.uk/our-community/blog/ambassadors-new-years-resolutions,1/24/2019 21:46
A healthy eats cookery class with Chris Hale,https://www.iconinc.co.uk/our-community/blog/chris-hale-cookery-class-1,1/31/2019 14:41
Stephanie’s spontaneous Super Bowl social,https://www.iconinc.co.uk/our-community/blog/stephanies-super-bowl-social,2/8/2019 13:53
Humans of IconInc: Reece our 24 hour concierge,https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-reece,2/14/2019 20:46
Joe’s top 10 books to read and relax,https://www.iconinc.co.uk/our-community/blog/joes-top-ten-books,2/27/2019 21:59
Catching up with Chris Hale,https://www.iconinc.co.uk/our-community/blog/catching-up-with-chris-hale,2/28/2019 16:37
What’s on in March,https://www.iconinc.co.uk/our-community/blog/whats-on-march,3/1/2019 14:46
A fakeaway cookery class with Chris Hale,https://www.iconinc.co.uk/our-community/blog/chris-hale-cookery-class-2,3/4/2019 20:09
Recipe: Satay sweet potato curry,https://www.iconinc.co.uk/our-community/blog/satay-sweet-potato-curry-recipe,3/6/2019 20:03
Fiona’s pancake party,https://www.iconinc.co.uk/our-community/blog/fionas-pancake-party,3/8/2019 16:25
Elena’s top 10 Instagrammable places in Liverpool,https://www.iconinc.co.uk/our-community/blog/elenas-top-10-instagrammable-places-liverpool,3/13/2019 19:47
7 ways that wellbeing comes first at IconInc,https://www.iconinc.co.uk/our-community/blog/7-ways-that-wellbeing-comes-first-at-iconinc,3/18/2019 20:26
Salah is designing an arm for the Ai-Da artist robot,https://www.iconinc.co.uk/our-community/blog/salah-designing-arm-for-aida-robot,3/22/2019 17:07
Recipe: Shakshuka,https://www.iconinc.co.uk/our-community/blog/shakshuka-recipe,3/26/2019 21:55
Recipe: Chicken gyro,https://www.iconinc.co.uk/our-community/blog/chicken-gyro-recipe,4/10/2019 22:42
A bodyweight circuit training workout for beginners,https://www.iconinc.co.uk/our-community/blog/bodyweight-circuit-training-workout-for-beginners,4/16/2019 17:13
Area guide: The Glassworks,https://www.iconinc.co.uk/our-community/blog/area-guide-the-glassworks,4/29/2019 20:50
Recipe: Okonomiyaki,https://www.iconinc.co.uk/our-community/blog/okonomiyaki-recipe,5/7/2019 19:12
Humans of IconInc: Pete our 24 hour concierge,https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-pete,5/14/2019 17:07
Fiona’s placement at the Family Court Project,https://www.iconinc.co.uk/our-community/blog/fionas-placement-at-the-family-court-project,5/16/2019 19:54
Recipe: Posh pot noodle,https://www.iconinc.co.uk/our-community/blog/posh-pot-noodle-recipe,5/24/2019 14:25
Area guide: The Ascent,https://www.iconinc.co.uk/our-community/blog/area-guide-the-ascent,5/29/2019 17:17
Recipe: Baked cod with tomato,https://www.iconinc.co.uk/our-community/blog/baked-cod-with-tomato-recipe,6/5/2019 19:59
"Humans of IconInc: Stevie, our Community and Events Manager",https://www.iconinc.co.uk/our-community/blog/humans-of-iconinc-stevie,6/12/2019 21:13
Harriet’s top vegan food buys for students,https://www.iconinc.co.uk/our-community/blog/harriets-top-vegan-food-buys-for-students,7/10/2019 16:21
International supermarkets in Leeds,https://www.iconinc.co.uk/our-community/blog/international-supermarkets-in-leeds,7/31/2019 15:33
Area guide: The Edge,https://www.iconinc.co.uk/our-community/blog/area-guide-the-edge,7/31/2019 16:20
Recipe: Vegan ramen,https://www.iconinc.co.uk/our-community/blog/vegan-ramen-recipe,8/5/2019 15:54
Best student nights in Liverpool,https://www.iconinc.co.uk/our-community/blog/178,10/14/2019 16:31
Things to do in Lincoln,https://www.iconinc.co.uk/our-community/blog/thingstodoinlincoln,10/14/2019 18:05
The best eats in Lincoln,https://www.iconinc.co.uk/our-community/blog/180,12/13/2019 15:23
Get the lowdown on life at IconInc,https://www.iconinc.co.uk/our-community/blog/rulan-gives-us-the-lowdown,12/13/2019 17:33
How to get more fruit and veg into your diet,https://www.iconinc.co.uk/our-community/blog/get-more-fruit-veg-in-your-diet,12/13/2019 18:51
How to do Veganuary,https://www.iconinc.co.uk/our-community/blog/veganuary-top-tips,1/22/2020 20:41
Life in lockdown,https://www.iconinc.co.uk/our-community/blog/life-in-lockdown,4/1/2020 14:03
'Fakeaway' recipes to satisfy those cravings!,https://www.iconinc.co.uk/our-community/blog/fakeaways,4/14/2020 14:20
"It's not goodbye, but see you soon!",https://www.iconinc.co.uk/our-community/blog/seeyousoon,5/6/2020 14:26
Tips to maximise your exam revision,https://www.iconinc.co.uk/our-community/blog/tips-to-maximise-your-exam-revision,6/3/2020 20:59
Events Review - Lauren's Top 5 ,https://www.iconinc.co.uk/our-community/blog/eventsreview-laurenstop5,7/13/2020 14:12
Discover Luxury Affordable Student Accommodation at IconInc,https://www.iconinc.co.uk/our-community/blog/allinclusivestudentaccommodation,7/28/2020 19:44
COVID-19 Safety Measures at IconInc,https://www.iconinc.co.uk/our-community/blog/covid-19-safety-measures-at-iconinc,8/25/2020 19:05
Content Producer? Social Butterfly? We're looking for Student Icons!,https://www.iconinc.co.uk/our-community/blog/studenticons,9/11/2020 18:40
"Humans of IconInc: Nathan, our Dual Site Manager",https://www.iconinc.co.uk/our-community/blog/humansoficoninc-nathan,9/30/2020 20:21
Tips for Online Studying,https://www.iconinc.co.uk/our-community/blog/tipsforstudyingonline,10/7/2020 23:10
Amber's Top Lincoln Student Outings!,https://www.iconinc.co.uk/our-community/blog/amberstopstudentlincolnoutings,10/16/2020 22:11
"Humans of Iconinc: Rachel, our Gravity Team Manager",https://www.iconinc.co.uk/portal/13/apartments/830,10/29/2020 21:38
New Item,https://www.iconinc.co.uk/locations/newcastle/virtual-tour/neo-studio,11/2/2020 21:24
Staying Healthy in Lockdown,https://www.iconinc.co.uk/our-community/blog/stayinghealthyinlockdown,11/6/2020 15:35
Ever wondered why our latest location is named Gravity?,https://www.iconinc.co.uk/our-community/blog/gravity-isaacnewton,11/17/2020 17:58
Gift shopping ideas on a student budget,https://www.iconinc.co.uk/our-community/blog/gift-shopping-ideas-on-student-budget,11/26/2020 17:41
Rachel's top 5 things to do in Lincoln,https://www.iconinc.co.uk/our-community/blog/rachelstop5thingstodoinlincoln,12/1/2020 20:24
What's it like to travel to the UK to study during a pandemic? ,https://www.iconinc.co.uk/our-community/blog/international-study-pandemic-experience,12/2/2020 14:51
"Humans of IconInc: Lucy, our Ascent Team Manager",https://www.iconinc.co.uk/our-community/blog/humansoficoninc-lucy,12/14/2020 17:43
Amber gives us the low down on Lincoln Cathedral,https://www.iconinc.co.uk/our-community/blog/ambergivesusthelowdownonlincolncathedral,1/20/2021 18:17
"2021 Changes, Growth and Setbacks to Student Accommodation.",https://www.iconinc.co.uk/our-community/blog/growth-and-setbacks-to-student-accommodation-2021,2/10/2021 20:27
